indId,themaId,displayEU,indCode,indShortName,indLongName,indUnit,indFilter,indURL,indPeriod,indDivider,indDescEn
28,2,0,"tour_cap_natc","Schlafgelegenheit für Touristen","Schlafgelegenheiten für Touristen","in 1000","unit:NR|indic_to:A003|nace_r2:I551-I553|terrtypo:TOTAL","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-321774_QID_-5BFB6E1_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BINDIC_TO,L,Z,0%3BUNIT,L,Z,1%3BNACE_R2,L,Z,2%3BTERRTYPO,L,Z,3%3BINDICATORS,C,Z,4%3B&zSelection=DS-321774INDICATORS,OBS_FLAG%3BDS-321774NACE_R2,I551-I553%3BDS-321774UNIT,NR%3BDS-321774INDIC_TO,A003%3BDS-321774TERRTYPO,CST_A%3B&rankName1=UNIT_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=INDIC-TO_1_2_-1_2&rankName4=NACE-R2_1_2_-1_2&rankName5=TERRTYPO_1_2_0_0&rankName6=TIME_1_0_0_0&rankName7=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2014","1000","Dieser Indikator zeigt die Gesamtzahl der Schlafgelegenheiten für Touristen in Hotels, Ferienunterkünften und ähnlichen Beherbergungsstätten sowie Campingplätzen. <br>Zur Anzahl der Schlafgelegenheiten zählen keine Zusatzbetten, die auf Wunsch des Kunden aufgestellt werden können. Der Begriff „Schlafgelegenheit“ bezieht sich auf ein Einzelbett, ein Doppelbett zählt als zwei Schlafgelegenheiten. "
28,2,1,"tin00011","Nie das Internet genutzt","Personen, die das Internet nie genutzt haben
","% der Personen im Alter von 16 bis 74 Jahren","ind_type:IND_TOTAL","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=tin00011&plugin=1","2015","","Dieser Indikator zeigt den Anteil der Personen im Alter von 16 bis 74 Jahren, die noch nie das Internet genutzt haben, ausgedrückt als % aller Personen derselben Altersgruppe."
28,2,1,"tin00089","Online-Banking","Personen, die das Internet für Online-Banking genutzt haben","% der Personen im Alter von 16 bis 74 Jahren","unit:PC_HH","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=tin00089&plugin=1","2015","","Dieser Indikator zeigt den Anteil der Personen im Alter von 16 bis 74 Jahren, die das Internet in den letzten drei Monaten für Online-Banking genutzt haben, ausgedrückt als % aller Personen derselben Altersgruppe. <br> Online-Banking umfasst elektronische Transaktionen mit Banken für Zahlungen usw. oder für die Abfrage von Kontoinformationen. 
"
28,2,1,"tin00099","Online-Shopping","Personen, die Waren oder Dienstleistungen über das Internet bestellt haben","% der Personen im Alter von 16 bis 74 Jahren","ind_type:IND_TOTAL","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=tin00099&plugin=1","2015","","Dieser Indikator zeigt den Anteil (in %) der Personen im Alter von 16 bis 74 Jahren, die in den letzten 12 Monaten Waren und/oder Dienstleistungen über das Internet gekauft oder bestellt haben, an allen Personen derselben Altersgruppe. 

"
28,2,1,"tin00096","Breitbandzugang","Privathaushalte, die einen Breitbandzugang haben","% der Haushalte ","unit:PC_IND","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=tin00096&plugin=1","2015","","Dieser Indikator zeigt den Anteil privater Haushalte mit Breitband-Internetzugang, ausgedrückt als % aller privaten Haushalte (mit mindestens einem Haushaltsmitglied im Alter von 16 bis 74 Jahren). <br>Die Verfügbarkeit von Breitbandzugängen wird gemessen als prozentualer Anteil der Haushalte mit Anschlussmöglichkeit an eine auf x-DSL umgestellte Vermittlungsstelle, ein für den Internet-Datenverkehr aufgerüstetes Kabelnetz oder andere Breitband-Systeme. Berücksichtigt werden sowohl feste als auch mobile Breitbandzugänge. "
28,2,1,"sts_coprgr_a","Produktion im Baugewerbe","Produktion im Baugewerbe","Veränderung gegenüber dem Vorjahr (in %)","indic_bt:PROD|unit:PCH_SM|s_adj:CA|nace_r2:F","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-069633_QID_6D36BE0A_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BINDIC_BT,L,Z,0%3BNACE_R2,L,Z,1%3BUNIT,L,Z,2%3BS_ADJ,L,Z,3%3BINDICATORS,C,Z,4%3B&zSelection=DS-069633INDICATORS,OBS_FLAG%3BDS-069633INDIC_BT,PROD%3BDS-069633UNIT,PCH_SM%3BDS-069633NACE_R2,F%3BDS-069633S_ADJ,CA%3B&rankName1=TIME_1_0_0_0&rankName2=UNIT_1_2_-1_2&rankName3=GEO_1_2_0_1&rankName4=INDIC-BT_1_2_-1_2&rankName5=INDICATORS_1_2_-1_2&rankName6=S-ADJ_1_2_-1_2&rankName7=NACE-R2_1_2_-1_2&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=false&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2014","","Dieser Indikator zeigt die Entwicklung der Produktion im Baugewerbe, ausgedrückt als %-Veränderung gegenüber dem Vorjahr. <br>Baugewerbe umfasst Hochbau und Tiefbau. "
28,3,0,"tag00016","Rinder","Zahl der Rinder","1000 Tiere",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&language=en&pcode=tag00016&plugin=1","2014","","Dieser Indikator zeigt den Rinderbestand in 1000 Tieren im Dezember des Jahres. <br>Zu „Rindern“ zählen Kälber, Bullen, Ochsen, Färsen und Kühe.
"
28,3,0,"tag00040","Käse","Käseerzeugung","1000 Tonnen",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=tag00040&plugin=1","2014","","Dieser Indikator zeigt die Käseerzeugung in 1000 Tonnen. <br>Dies bezieht sich auf alle Käsearten, z. B. Weich- und Hartkäse, Käse aus Ziegenmilch, Kuhmilch, Schafmilch usw.  "
28,3,0,"tag00014","Milchkühe","Zahl der Milchkühe ","1000 Tiere",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=tag00014&plugin=1","2014","","Dieser Indikator zeigt den Bestand an Milchkühen in 1000 Tieren im Dezember des Jahres. <br>Milchkühe sind Kühe, die ausschließlich oder hauptsächlich zur Erzeugung von Milch gehalten werden, die für den menschlichen Verzehr und/oder zur Herstellung von Milcherzeugnissen bestimmt ist.  
"
29,3,0,"tag00018","Schweine","Schweine","1000 Tiere",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&language=en&pcode=tag00018&plugin=1","2014","","Dieser Indikator zeigt den Bestand an Schweine in 1000 Tieren im Dezember des Jahres."
28,4,0,"tet00055-1","Extra-EU Handel: Einfuhren","Anteil der Wareneinfuhren nach Mitgliedstaat","% der gesamten Einfuhren der EU aus Drittländern","indic_et:CONT_IMP_EU","http://ec.europa.eu/eurostat/tgm/refreshTableAction.do?tab=table&plugin=1&pcode=tet00055&language=en&tableSelection=1","2014","","Dieser Indikator zeigt den Anteil der einzelnen Mitgliedstaaten an den gesamten Wareneinfuhren der EU aus Drittländern (= Extra-EU)."
28,4,0,"tet00055-2","Extra-EU Handel: Ausfuhren","Anteil der Warenausfuhren nach Mitgliedstaat","% der gesamten Ausfuhren der EU in Drittländer","indic_et:CONT_EXP_EU","http://ec.europa.eu/eurostat/tgm/refreshTableAction.do?tab=table&plugin=1&pcode=tet00055&language=en&tableSelection=2","2014","","Dieser Indikator zeigt den Anteil der einzelnen Mitgliedstaaten an den gesamten Warenausfuhren der EU in Drittländer (Extra-EU)."
28,4,0,"tet00055-3","Extra-EU Handel: Saldo","Handelsbilanzsaldo ","Mio. Euro","indic_et:MIO_BAL_VAL","http://ec.europa.eu/eurostat/tgm/refreshTableAction.do?tab=table&plugin=1&pcode=tet00055&language=en&tableSelection=3","2014","","Dieser Indikator zeigt den Handelsbilanzsaldo in Mio. Euro, d. h. der Wert der Warenausfuhren abzüglich des Wertes der Wareneinfuhren."
28,5,0,"ttr00012","Fluggäste","Fluggäste","1000 Fluggäste",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&language=en&pcode=ttr00012&plugin=1","2014","1000","Dieser Indikator zeigt die Gesamtzahl der beförderten Fluggäste (Ankünfte und Abflüge). <br>So wird beispielsweise eine von Paris nach London fliegende Person in Frankreich zu den „abfliegenden Fluggästen“ und im Vereinigten Königreich zu den „ankommenden Fluggästen“ gezählt. <br>Der Wert für die EU schließt jedoch eine Doppelzählung aus, d. h. dieselben Fluggäste werden nicht zweimal gezählt. Fluggäste in direktem Transit sind ausgenommen.
"
28,5,1,"tsdtr220","Strassengüterverkehr","Güterbeförderung im Straßenverkehr","% der gesamten Tonnenkilometer im Inlandgüterverkehr","tra_mode:ROAD","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tsdtr220&tableSelection=2","2013","","Dieser Indikator zeigt den Güterverkehr auf der Straße, ausgedrückt als % an allen Inlandsverkehrsträgern (Straßen, Schiene und Binnenschifffahrt) in Tonnenkilometern (tkm). <br>Tkm ist eine Maßeinheit für den Güterverkehr, d. h. für die Beförderung einer Tonne Güter durch einen bestimmten Verkehrsträger über eine Entfernung von einem Kilometer. Grundlage der Daten über den Straßenverkehr sind sämtliche Bewegungen der Fahrzeuge, die im Meldeland zugelassen sind."
28,6,1,"ten00117-1","Strompreise: private Haushalte","Strompreise für Haushaltskunden mittlerer Größe (zwischen 2500 und 5000 kWh)","EUR je kWh, einschließlich Steuern und Abgaben","indic_en:MSHH","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&layout=time,geo,cat&language=en&pcode=ten00117&plugin=1","2015","","Dieser Indikator zeigt den Strompreis, der einem Haushalt mit einem jährlichen Verbrauch von 2500 bis 5000 kWh, einschließlich Steuern und Abgaben, in Rechnung gestellt werden. <br>Der Endpreis für Stromkunden hängt von der Gestaltung der Stromtarife und Verträge ab, die sich in der Regel aus einer Reihe von Elementen zusammensetzen (u. a. aus festen Gebühren sowie Preisen pro Einheit, die je nach Umfang des Stromverbrauchs und der Tageszeit des Verbrauchs variieren)."
28,6,1,"ten00117-2","Strompreise: Industrie","Strompreise für industrielle Verbraucher mittlerer Größe (zwischen 500 und 2000 MWh)","EUR je kWh, einschließlich Steuern und Abgaben","indic_en:MSIND","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=ten00117&tableSelection=2","2015","","Dieser Indikator zeigt den Preis, der einem industriellen Verbraucher mit einem jährlichen Verbrauch von 500 bis 2000 MWh, einschließlich Steuern und Abgaben, in Rechnung gestellt werden. <br>Der Endpreis für Stromkunden hängt von der Gestaltung der Stromtarife und Verträge ab, die sich in der Regel aus einer Reihe von Elementen zusammensetzen (u. a. aus festen Gebühren sowie Preisen pro Einheit, die je nach Umfang des Stromverbrauchs und der Tageszeit des Verbrauchs variieren)."
28,6,1,"tsdcc330","Elektrizität aus erneuerbaren Energien","Elektrizitätserzeugung aus erneuerbaren Energiequellen","% des Bruttostromverbrauchs",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&language=en&pcode=tsdcc330&plugin=1","2013","","Dieser Indikator zeigt den Anteil der Stromerzeugung aus erneuerbaren Energien am nationalen Bruttostromverbrauch. <br>Er misst somit den Beitrag des aus erneuerbaren Energiequellen gewonnenen Stroms zum nationalen Stromverbrauch. <br>Aus erneuerbaren Energiequellen gewonnener Strom umfasst die Stromerzeugung in Wasserkraftwerken (mit Ausnahme von Pumpspeicherwerken), Windkraft- und Solaranlagen, in geothermischen Kraftwerken und Biomasse- sowie Abfallverbrennungsanlagen. <br>Der nationale Bruttostromverbrauch entspricht der nationalen Bruttogesamterzeugung aus allen Quellen zuzüglich Stromeinfuhren, abzüglich Ausfuhren. "
28,6,1,"t2020_31","Erneuerbare Energien","Erneuerbare Energiequellen","% des Bruttoendenergieverbrauchs",,"http://ec.europa.eu/eurostat/tgm/table.do?tab=table&tableSelection=1&labeling=labels&footnotes=yes&language=en&pcode=t2020_31&plugin=1","2013","","Dieser Indikator zeigt den Anteil (in %) der Energie aus erneuerbaren Quellen am Bruttoendenergieverbrauch an. <br>Er bezieht sich auf Energie aus erneuerbaren Quellen, die an die Endverbraucher (Industrie, Verkehrssektor, private Haushalte, Dienstleistungssektor einschließlich öffentlicher Dienst, Landwirtschaft, Forstwirtschaft und Fischerei) geliefert wird und umfasst Solarenergie, thermische und fotovoltaische Energie, Energie aus Wasserkraft (einschließlich durch Gezeiten, Wellen und Ozeane erzeugte Energie), Windenergie, geothermische Energie und Energie aus Biomasse (einschließlich Energie aus biologischen Abfällen und flüssigen Biobrennstoffen). <br>Der durch alle Energiequellen gedeckte Bruttoendenergieverbrauch umfasst die gesamte Energie, die für energetische Zwecke an die Endverbraucher geliefert wird, sowie die bei der Strom- und Wärmeerzeugung verloren gegangene Energie (Übertragungs- und Verteilungsverluste). "
28,6,1,"env_wasmun","Siedlungsabfälle","Erzeugte Siedlungsabfälle","kg pro Person","wst_oper:GEN|unit:KG_HAB","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-150766_QID_-5A754781_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BWST_OPER,L,Z,0%3BUNIT,L,Z,1%3BINDICATORS,C,Z,2%3B&zSelection=DS-150766UNIT,THS_T%3BDS-150766INDICATORS,OBS_FLAG%3BDS-150766WST_OPER,GEN%3B&rankName1=WST-OPER_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=UNIT_1_2_-1_2&rankName4=TIME_1_0_0_0&rankName5=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2013","","Dieser Indikator zeigt die Menge der erzeugten Siedlungsabfälle pro Person. Siedlungsabfälle stammen zu einem großen Teil aus privaten Haushalten, sie können aber auch ähnliche Abfälle umfassen, die in Kleinunternehmen und öffentlichen Einrichtungen anfallen und von den Kommunen gesammelt werden. Dieser Anteil der Siedlungsabfälle kann von Kommune zu Kommune und von Land zu Land unterschiedlich sein – abhängig von dem jeweiligen Abfallwirtschaftssystem. Für Bereiche, die nicht von einem kommunalen Abfallsammlungssystem abgedeckt werden, wird die Menge der erzeugten Abfälle geschätzt. Abfälle aus Landwirtschaft und Industrie sind nicht enthalten."
28,6,1,"t2020_rt320","Umweltsteuern","Umweltsteuereinnahmen","% des gesamten Steueraufkommens","unit:PC_TSCO_X_ISCO","http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&pcode=t2020_rt320&language=en ","2013","","Dieser Indikator zeigt die Umweltsteuereinnahmen des Staates als Anteil (in %) an den Gesamteinnahmen aus Steuern und Sozialabgaben des Staates. <br>Eine Umweltsteuer ist eine Steuer, deren Bemessungsgrundlage eine physische Einheit (bzw. eine Ersatzgröße) von etwas ist, das nachweislich eine bestimmte negative Auswirkung auf die Umwelt hat. <br>Hierzu gehören z. B. Steuern auf Energieerzeugnisse für den Verkehrssektor, wie Otto- und Dieselkraftstoff usw., Steuern auf Energieerzeugnisse für ortsfeste Zwecke, wie Erdgas, Kohle und Koks usw. und auf die Verschmutzung, wobei die gemessenen oder geschätzten Emissionen in die Luft und in das Wasser, die Abfallbewirtschaftung usw. berücksichtigt werden.    "
28,7,0,"pat_ep_ntec","Patente","Hochtechnologie-Patentanmeldungen beim EPA","Anzahl","ipc:HT|unit:NR","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-052592_QID_-24D42654_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BIPC,L,Z,0%3BUNIT,L,Z,1%3BINDICATORS,C,Z,2%3B&zSelection=DS-052592IPC,HT%3BDS-052592UNIT,NBR%3BDS-052592INDICATORS,OBS_FLAG%3B&rankName1=UNIT_1_2_-1_2&rankName2=IPC_1_2_-1_2&rankName3=INDICATORS_1_2_-1_2&rankName4=TIME_1_0_0_0&rankName5=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2012","","Dieser Indikator zeigt die Zahl der Hochtechnologie-Patentanmeldungen beim Europäischen Patentamt. <br>Ein Patent ist als ein Recht des geistigen Eigentums ein staatlich verbrieftes gewerbliches Schutzrecht, das dem Patentinhaber ausschließliche Rechte zur gewerblichen Nutzung seiner Erfindung für eine bestimmte Zeit sichert. Patente spiegeln die erfinderische Tätigkeit eines Landes wider. Außerdem zeigen sie die Fähigkeit eines Landes auf, Wissen zu nutzen und in potenzielle wirtschaftliche Gewinne umzusetzen. Eine Patentanmeldung muss eine Erfindung betreffen, d. h. eine neue Lösung für ein technisches Problem, das die Kriterien der Neuheit, des Erfindungsgehalts und der gewerblichen Anwendbarkeit erfüllt.  <br>Patentämter können Unternehmen, Einzelpersonen oder Körperschaften des öffentlichen Rechts Patente erteilen, die in einem bestimmten Land oder Gebiet für einen befristeten Zeitraum gelten. <br>Die folgenden technischen Bereiche werden den Hochtechnologiegruppen zugeordnet: Luftfahrt, Kommunikationstechnologie, Computer und Bürokommunikation, Laser, Mikroorganismen und Gentechnik, Halbleiter."
28,7,1,"rd_e_gerdtot","FuE-Ausgaben","Ausgaben für Forschung und Entwicklung (FuE)","% des BIP","unit:PC_GDP|sectperf:TOTAL","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-053382_QID_2DC6368_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BSECTPERF,L,Z,0%3BUNIT,L,Z,1%3BINDICATORS,C,Z,2%3B&zSelection=DS-053382INDICATORS,OBS_FLAG%3BDS-053382SECTPERF,TOTAL%3BDS-053382UNIT,EUR_HAB%3B&rankName1=SECTPERF_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=UNIT_1_2_-1_2&rankName4=TIME_1_0_0_0&rankName5=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2014","","Dieser Indikator zeigt die Ausgaben für Forschung und Entwicklung (FuE), ausgedrückt als  % des BIP („FuE-Intensität“). <br>FuE bezieht sich auf systematisch betriebene, schöpferische Arbeit mit dem Zweck der Erweiterung des Wissensstands, einschließlich der Erkenntnisse über den Menschen, die Kultur und die Gesellschaft, sowie den Einsatz dieses Wissens mit dem Ziel, neue Anwendungsmöglichkeiten zu finden."
28,7,1,"htec_trd_tot4"," Hochtechnologieexporte","Hochtechnologieexporte in Drittländer ","% der Gesamtausfuhren in Drittländer","stk_flow:EXP|unit:PC_TOT|partner:EXT_EU28","http://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-075829_QID_17AC5EEE_UID_-3F171EB0&layout=TIME,C,X,0%3BGEO,L,Y,0%3BSTK_FLOW,L,Z,0%3BUNIT,L,Z,1%3BPARTNER,L,Z,2%3BINDICATORS,C,Z,3%3B&zSelection=DS-075829PARTNER,EXT_EU28%3BDS-075829INDICATORS,OBS_FLAG%3BDS-075829STK_FLOW,EXP%3BDS-075829UNIT,PC_TOT%3B&rankName1=PARTNER_1_2_-1_2&rankName2=STK-FLOW_1_2_-1_2&rankName3=INDICATORS_1_2_-1_2&rankName4=UNIT_1_2_-1_2&rankName5=TIME_1_0_0_0&rankName6=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23","2014","","Dieser Indikator zeigt den Anteil (in %) der Ausfuhren von Hochtechnologieerzeugnissen in Drittländer (Extra-EU) an den Gesamtausfuhren in Drittländer. <br>Zu Hochtechnologieerzeugnissen zählen folgenden Erzeugnisse: Luft- und Raumfahrt, Computer und Büromaschinen, Elektronik und Telekommunikationsgeräte, pharmazeutische Erzeugnisse, wissenschaftliche Instrumente, elektrische Maschinen, chemische Erzeugnisse, nichtelektrische Maschinen und Waffentechnik. <br>Eine detaillierte Liste der Hochtechnologieerzeugnisse finden Sie hier: http://ec.europa.eu/eurostat/cache/metadata/Annexes/htec_esms_an5.pdf"
